,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
84,5,9,43.312714776632305,1.6212723190701104,23328894122.225563,-0.02913035446917416,2.0741840493844315,-0.9775096848670837,0.3442617181056345,18.23308270676692,0.5683893354770102,0.01776331945746242,6535.753939610343,-4031.2499403918528,3151,7275,2.0,1.8
85,6,9,48.61453648629044,1.6979038161404716,958281742859.6709,-0.023663088586762655,2.0977928742224683,-1.1688947079509375,0.4191903185778718,17.275689223057643,0.6680487526494945,0.019160232778089755,7029.70392151949,-4140.22505556222,3351,6893,2.0,1.5
86,7,9,51.72802404207363,1.6185840982964417,8627776250939.818,-0.02049861902768133,1.9847250305406996,-1.3140015880344469,0.39236451030438735,20.015037593984964,0.7842652656379742,0.019414436122898025,8198.89910116363,-5065.476121872793,4131,7986,2.0,1.2857142857142858
87,8,9,54.72019464720195,1.5594380008142283,9115677100780.223,-0.018034510530190864,1.957349269546404,-1.5168523103926432,0.3842375565861689,20.601503759398497,0.8959280822781116,0.020332160589177042,8804.157014419727,-5645.724299281419,4498,8220,2.0,1.125
88,9,9,57.17145548751766,1.5458916251680557,39361363651242.61,-0.016465656981966042,1.9380696751574635,-1.6735406856677608,0.3912695241540084,21.283208020050125,0.9770217353658883,0.021001946300001222,9409.328272889485,-6086.667473773646,4855,8492,2.0,1.0
89,10,9,60.18989487962021,1.5580552100394112,646473073272948.8,-0.014935581216356707,1.898451274046423,-1.8422428196841663,0.40927702310043734,22.172932330827066,1.0650559585571948,0.021498114104140882,10109.253034297202,-6488.379210927633,5325,8847,2.0,0.9
90,1,10,11.737931034482758,1.519382411851979,878.4201480067017,-0.14959079361978345,2.448782765975671,-0.21433871133010474,0.09825665104054562,17.726161369193154,0.12712970517377803,0.009830986123125624,2083.914133845296,-1371.5534138013404,851,7250,2.0,10.0
91,2,10,22.122041539204638,1.6396146613608795,517988.3483757323,-0.07559776729923481,2.5708420086818857,-0.44539387470553865,0.22185908033782345,15.002415458937199,0.23521077185042402,0.014140355421615769,3532.336919928911,-2154.3701719506903,1374,6211,2.0,5.0
92,3,10,30.28838139689948,1.6791123588216401,23470924.530888293,-0.04959579031676686,2.4168843963987077,-0.6253843637113771,0.29606960146949024,18.17878787878788,0.3435635136868585,0.016134617807657084,4391.478948256452,-2615.3574090409793,1817,5999,2.0,3.3333333333333335
93,4,10,36.937755565651976,1.6995349542235005,9735067883.177538,-0.03648843229765776,2.400360618545008,-0.8272703730650107,0.36494407317712724,16.548872180451127,0.4481025420562749,0.01806072041114322,5854.479548631275,-3444.7538334427045,2439,6603,2.0,2.5
94,5,10,42.65878877400296,1.8061077813532758,6084837805711.171,-0.02816725497579583,2.387954472500635,-0.9836124941047578,0.4546571365534956,16.967418546365916,0.5486309776278946,0.01960594172372536,6896.412516581834,-3818.38370211467,2888,6770,2.0,2.0
95,6,10,47.71377672209026,1.8578318208803906,362820204832088.56,-0.022775020052117165,2.3597514621244033,-1.159087940875937,0.5198832350805793,17.01010101010101,0.6498860424853189,0.020611597446576972,7584.241199267833,-4082.30772776505,3214,6736,2.0,1.6666666666666667
96,7,10,51.55421859332474,1.8087587231014195,2749251475290263.0,-0.019142965058421144,2.313527465586374,-1.3611383315112933,0.533306906098577,22.022082018927446,0.7661786402604401,0.021459445897740664,8326.385348645359,-4603.369837171194,3599,6981,2.0,1.4285714285714286
97,8,10,53.358899761967734,1.6858049770768493,2414680772801687.0,-0.017049873155845652,2.276018023309955,-1.5445659071478892,0.49405564262695906,18.952380952380953,0.883258393542194,0.022260382460993145,9183.73272405567,-5447.683954510605,4035,7562,2.0,1.25
98,9,10,55.58823529411765,1.6304842848509598,2600988993255838.0,-0.015533070214707118,2.2381056759447246,-1.718101544388936,0.4810842339730108,19.598997493734334,0.9778593317558302,0.022948780792603755,9729.045373331717,-5966.966663662775,4347,7820,2.0,1.1111111111111112
99,10,10,58.00745999278065,1.6155196528535873,3.3543437246442456e+16,-0.014219324433005656,2.201226609294441,-1.8821932561749106,0.4864948886244809,20.829573934837093,1.0644001538233396,0.023551343655230893,10612.1134834085,-6568.854464050438,4821,8311,2.0,1.0
