timestamp,open,high,low,close,volume,trade_count,vwap
2018-03-28 12:00:00+00:00,239.44,239.74,237.332,238.83,43947,96,238.450045
2018-03-28 13:00:00+00:00,238.7,239.74,237.88,239.25,1651621,9247,238.770306
2018-03-28 14:00:00+00:00,239.26,239.75,237.05,238.06,1172350,7994,238.310395
2018-03-28 15:00:00+00:00,238.07,239.23,237.6,238.65,1281055,5979,238.468069
2018-03-28 16:00:00+00:00,238.68,240.72,238.4646,238.5,732103,4286,239.553017
2018-03-28 17:00:00+00:00,238.51,239.9336,237.9,239.398,930689,4077,238.746714
2018-03-28 18:00:00+00:00,239.4,239.71,238.38,238.69,483029,2637,238.887177
2018-03-28 19:00:00+00:00,238.65,239.39,237.3452,238.29,1372550,6256,238.444621
2018-03-28 20:00:00+00:00,238.28,238.78,238.21,238.6,308855,49,238.367396
2018-03-28 21:00:00+00:00,238.45,238.45,238.45,238.45,174,2,238.492529
2018-03-28 22:00:00+00:00,238.82,239.0,238.82,239.0,464,7,238.857888
2018-03-28 23:00:00+00:00,239.1,239.25,239.0,239.0,1700,6,239.064118
2018-03-29 09:00:00+00:00,239.34,239.34,239.34,239.34,500,1,239.34
2018-03-29 10:00:00+00:00,239.5,239.5,239.5,239.5,500,2,239.5
2018-03-29 11:00:00+00:00,239.35,239.47,239.35,239.39,3794,9,239.434871
2018-03-29 12:00:00+00:00,239.56,239.56,238.28,239.47,11804,27,238.962228
2018-03-29 13:00:00+00:00,239.46,240.24,239.13,239.35,506658,2924,239.760609
2018-03-29 14:00:00+00:00,239.38,240.75,239.06,240.74,720834,6140,239.797096
2018-03-29 15:00:00+00:00,240.77,241.59,240.45,241.16,703538,3853,240.98403
2018-03-29 16:00:00+00:00,241.2,241.27,240.3,240.69,800421,2032,239.138503
2018-03-29 17:00:00+00:00,240.74,241.87,240.25,241.57,1233778,4774,239.936468
2018-03-29 18:00:00+00:00,241.6001,242.54,241.31,242.2004,872574,3606,240.919316
2018-03-29 19:00:00+00:00,242.22,242.94,241.34,241.36,1636856,10145,242.045722
2018-03-29 20:00:00+00:00,241.34,241.5,240.89,240.98,137180,137,241.340853
2018-03-29 21:00:00+00:00,241.01,241.01,241.01,241.01,200,1,241.01
2018-03-29 22:00:00+00:00,241.0,241.0,241.0,241.0,701,5,241.0
2018-03-29 23:00:00+00:00,241.2,241.4,241.1,241.1,9515,7,241.387761
2018-04-02 08:00:00+00:00,240.66,240.74,240.66,240.74,300,3,240.686667
2018-04-02 09:00:00+00:00,240.69,240.69,240.69,240.69,100,1,240.69
2018-04-02 10:00:00+00:00,240.9,240.9,240.9,240.9,145,1,240.9
2018-04-02 11:00:00+00:00,240.53,240.57,240.0,240.2,2607,15,240.385834
2018-04-02 12:00:00+00:00,240.21,241.4,240.13,240.41,12979,56,240.45678
2018-04-02 13:00:00+00:00,240.35,241.03,239.87,240.57,802227,4561,240.4922
2018-04-02 14:00:00+00:00,240.6294,240.82,238.2,238.33,1211573,6268,239.352765
2018-04-02 15:00:00+00:00,238.28,238.38,235.53,235.9627,1579232,8596,236.883866
2018-04-02 16:00:00+00:00,235.93,236.41,234.9,235.7,949770,6867,235.677766
2018-04-02 17:00:00+00:00,235.68,235.94,233.83,233.83,825899,5079,234.762397
2018-04-02 18:00:00+00:00,233.83,234.76,233.2,234.66,1650239,6989,236.084459
2018-04-02 19:00:00+00:00,234.68,236.54,234.145,236.19,2085336,12050,235.245861
2018-04-02 20:00:00+00:00,236.22,236.36,235.66,236.36,89508,152,236.062073
2018-04-02 21:00:00+00:00,236.44,236.44,236.36,236.36,958,5,236.368351
2018-04-02 22:00:00+00:00,236.46,236.46,236.0,236.0,2160,13,236.140787
2018-04-02 23:00:00+00:00,236.02,236.4,236.0,236.4,1740,13,236.200517
2018-04-03 08:00:00+00:00,236.22,236.22,236.1,236.1,700,2,236.202857
2018-04-03 11:00:00+00:00,236.83,236.83,236.52,236.77,12703,48,236.654637
2018-04-03 12:00:00+00:00,236.67,237.66,236.55,237.63,49806,175,237.275832
2018-04-03 13:00:00+00:00,237.61,237.98,237.01,237.5,1952273,6764,237.622928
2018-04-03 14:00:00+00:00,237.4801,238.4046,236.4,238.28,1918362,7440,236.945413
2018-04-03 15:00:00+00:00,238.33,238.88,237.1,237.1,1661067,4937,237.286547
2018-04-03 16:00:00+00:00,237.16,237.8,236.88,237.49,560380,1918,236.883861
2018-04-03 17:00:00+00:00,237.53,238.49,237.17,238.4,694219,2788,237.373671
2018-04-03 18:00:00+00:00,238.45,238.67,236.7,238.49,1054336,4173,237.33801
2018-04-03 19:00:00+00:00,238.45,240.25,238.23,240.07,1888892,7752,238.719905
2018-04-03 20:00:00+00:00,240.13,240.15,239.78,240.1,90134,82,240.100533
2018-04-03 21:00:00+00:00,240.0,240.1,239.7,239.7,757,10,239.983289
2018-04-03 22:00:00+00:00,239.74,239.74,239.72,239.72,2650,9,239.724906
2018-04-03 23:00:00+00:00,239.75,239.75,239.68,239.72,1949,8,239.718327
2018-04-04 08:00:00+00:00,237.3,237.36,235.64,235.9,3099,26,236.773662
2018-04-04 09:00:00+00:00,235.52,235.56,235.52,235.56,570,4,235.545614
2018-04-04 10:00:00+00:00,235.6,235.6,233.74,234.6,2259,19,234.686552
2018-04-04 11:00:00+00:00,234.87,235.67,234.85,235.25,35867,97,235.113817
2018-04-04 12:00:00+00:00,234.9,237.5,234.5,235.45,43833,202,235.137935
2018-04-04 13:00:00+00:00,235.5,239.36,234.81,236.6,1223843,7157,235.754285
2018-04-04 14:00:00+00:00,236.61,238.38,236.0428,238.19,1025905,6398,236.991339
2018-04-04 15:00:00+00:00,238.22,239.15,237.49,238.82,837216,3630,238.948161
2018-04-04 16:00:00+00:00,238.82,240.08,238.53,239.63,551735,2973,239.526941
2018-04-04 17:00:00+00:00,239.66,239.71,238.59,239.25,483663,2722,239.098006
2018-04-04 18:00:00+00:00,239.27,241.45,239.26,241.27,982818,3944,240.552842
2018-04-04 19:00:00+00:00,241.29,242.9,241.05,242.47,1142862,7247,242.150398
2018-04-04 20:00:00+00:00,242.44,242.83,242.32,242.58,69960,165,242.510196
2018-04-04 21:00:00+00:00,242.55,242.8,242.55,242.8,200,2,242.675
2018-04-04 22:00:00+00:00,242.62,243.0,242.53,243.0,9581,23,242.837184
2018-04-04 23:00:00+00:00,243.1,243.26,242.96,243.24,22557,43,243.145007
2018-04-05 08:00:00+00:00,243.92,243.92,243.78,243.78,304,5,243.858289
2018-04-05 11:00:00+00:00,243.32,243.58,243.08,243.36,6544,25,243.408278
2018-04-05 12:00:00+00:00,243.45,244.11,243.24,243.83,46258,122,243.743173
2018-04-05 13:00:00+00:00,243.75,244.53,243.55,244.495,553169,3113,244.011929
2018-04-05 14:00:00+00:00,244.5172,244.9,244.17,244.4,626121,4664,244.50943
2018-04-05 15:00:00+00:00,244.45,246.05,244.45,245.92,1149304,4112,244.206382
